Type,Metabolite,CHEBI,Protein,Stoichiometry,Isozyme
PTS,n-acetyl-glucosamine,506227,SAPIG1778,1,
PTS,n-acetyl-glucosamine,506227,SAPIG2374,1,
PTS,n-acetyl-glucosamine,506227,SAPIG2432,1,
PTS,n-acetyl-glucosamine,506227,SAPIG2588,1,
Permease,ammonium,28938,SAPIG1831,1,
Permease,ammonium,28938,SAPIG2080,1,
Permease,ammonium,28938,SAPIG2081,1,
Antiport,Na/H,29101/15378,SAPIG0518,1,
Antiport,Na/H,29101/15378,SAPIG0702,1,
Antiport,Na/H,29101/15378,SAPIG0703,1,
Antiport,Na/H,29101/15378,SAPIG0705,1,
Antiport,Na/H,29101/15378,SAPIG0706,1,
Antiport,Na/H,29101/15378,SAPIG0707,1,
Antiport,Na/H,29101/15378,SAPIG0708,1,
Antiport,Na/H,29101/15378,SAPIG0929,1,
Antiport,Na/H,29101/15378,SAPIG0930,1,
Antiport,Na/H,29101/15378,SAPIG0931,1,
Antiport,Na/H,29101/15378,SAPIG0932,1,
Antiport,Na/H,29101/15378,SAPIG0933,1,
Antiport,Na/H,29101/15378,SAPIG0934,1,
Antiport,Na/H,29101/15378,SAPIG0935,1,
Antiport,Na:Calcium,29101/29108,SAPIG1853,1,
