RHEA_ID,Protein,Stoichiometry,Isozyme,EC,KEGG_ID
RHEA:30367,SAPIG0453,1,0,3.1.3.73,R04594
RHEA:33431,SAPIG1364,1,0,5.3.2.6,R
RHEA:48580,SAPIG1628,1,0,2.7.4.28,R
RHEA:24360,SAPIG2667,1,0,4.99.1.4,R02864
RHEA:30443,SAPIG1376,1,0,2.3.2.18,R08778
RHEA:45332,SAPIG0581,1,0,1.13.11.81,R11037
RHEA:25432,SAPIG0284,1,0,5.4.99.62,R08247
RHEA:25609,SAPIG0284,1,0,5.4.99.62,R
RHEA:11756,SAPIG1456,1,0,6.3.4.15,R04562
RHEA:10488,SAPIG1615,1,0,6.3.3.2,R02301
RHEA:28687,SAPIG2639,1,0,1.3.5.2,R
RHEA:28691,SAPIG2639,1,0,1.3.5.2,R
RHEA:13877,SAPIG0940,1,0,2.6.1.13,R01343
RHEA:13877,SAPIG0200,1,0,2.6.1.13,R01343
RHEA:17313,SAPIG1694,1,0,6.1.1.21,R03655
RHEA:43384,SAPIG0599,1,0,2.7.14.1,R
RHEA:14705,SAPIG0970,1,0,1.8.1.14,R07175
RHEA:22508,SAPIG1266,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG0544,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG1756,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG1365,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG0002,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG1987,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG1988,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG1652,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG1744,1,0,2.7.7.7,R00379
RHEA:22508,SAPIG0550,1,0,2.7.7.7,R00379
RHEA:14513,SAPIG1995,1,0,6.3.5.6,R04212
RHEA:14513,SAPIG1994,1,0,6.3.5.6,R04212
RHEA:14513,SAPIG1993,1,0,6.3.5.6,R04212
RHEA:52232,SAPIG2657,1,0,1.14.99.57,R11741
RHEA:52232,SAPIG1900,1,0,1.14.99.57,R11741
RHEA:52236,SAPIG2657,1,0,1.14.99.57,R11742
RHEA:52236,SAPIG1900,1,0,1.14.99.57,R11742
RHEA:31303,SAPIG0635,1,0,1.5.1.36,R09662
RHEA:19621,SAPIG0159,1,0,3.1.4.16,R03423
RHEA:19621,SAPIG0025,1,0,3.1.4.16,R03423
RHEA:17653,SAPIG1587,1,0,2.5.1.29,R02061
RHEA:24624,SAPIG1737,1,0,6.1.1.3,R03663
RHEA:23904,SAPIG0219,1,0,2.3.2.2,R04159
RHEA:20397,SAPIG0439,1,0,2.5.1.48,R03260
RHEA:24104,SAPIG1702,1,0,2.4.2.29,R10209
RHEA:11688,SAPIG1811,1,0,6.1.1.4,R03657
RHEA:21248,SAPIG0617,1,0,2.7.7.6,R00444
RHEA:21248,SAPIG1208,1,0,2.7.7.6,R00444
