Protein,Stoichiometry,Isozyme,KEGG_ID
SAPIG1991,2,0,R02240
SAPIG0629,1,0,R01090
SAPIG1598,1,0,R12428
SAPIG1587,1,0,R02003
SAPIG1221,1,0,R01529
SAPIG0242,1,0,R04741
SAPIG1633,1,0,R08221
SAPIG2723,1,0,R04035
SAPIG2141,1,0,R04544
SAPIG0179,2,0,R10468
SAPIG1132,2,0,R10468
SAPIG0159,1,0,R01562
SAPIG0150,6,0,R01969
SAPIG1184,2,0,R01969
SAPIG2180,6,0,R01969
SAPIG0627,1,0,R02439
SAPIG0945,1,0,R00771
SAPIG0167,1,0,R00291
SAPIG2254,1,1,R03240
SAPIG2255,1,1,R03240
SAPIG2605,1,0,R04445
SAPIG1006,4,0,R04970
SAPIG2691,1,0,R02630
SAPIG0243,4,0,R12356
SAPIG0468,2,0,R01230
SAPIG0162,20,0,R08310
SAPIG0686,1,0,R08310
SAPIG0808,2,1,R02024
SAPIG0809,2,1,R02024
SAPIG0980,1,0,R10119
SAPIG2141,1,0,R10121
SAPIG1467,3,0,R11895
SAPIG0576,1,0,R01132
SAPIG0548,1,0,R02098
SAPIG0662,1,0,R00230
SAPIG0241,1,0,R05506
SAPIG1330,1,0,R01775
SAPIG0801,2,0,R00694
SAPIG2728,2,0,R00694
SAPIG2480,2,0,R12934
SAPIG0847,2,0,R11074
SAPIG1755,1,0,R11074
SAPIG1581,24,0,R04097
SAPIG1583,2,1,R07599
SAPIG1582,2,1,R07599
SAPIG1659,1,0,R03005
SAPIG1437,2,0,R00996
SAPIG2100,4,0,R00996
SAPIG2136,1,0,R04509
SAPIG0153,1,0,R02749
SAPIG2476,2,0,R03209
SAPIG2383,1,0,R02914
SAPIG1472,1,0,R00842
SAPIG0244,1,0,R00390
SAPIG2002,4,0,R12851
SAPIG1821,3,0,R00066
SAPIG0242,1,0,R04739
SAPIG0331,1,0,R02770
SAPIG1576,2,0,R01528
SAPIG0481,1,0,R02556
SAPIG1184,2,0,R02556
SAPIG2142,1,0,R00660
SAPIG2166,1,0,R00660
SAPIG1331,1,0,R01466
SAPIG1469,1,0,R09736
SAPIG1917,4,0,R01082
SAPIG2059,1,0,R07381
SAPIG0980,1,0,R04968
SAPIG0579,2,0,R07274
SAPIG0808,2,1,R02019
SAPIG0809,2,1,R02019
SAPIG0980,1,0,R07762
SAPIG0468,2,0,R01231
SAPIG0631,2,0,R01666
SAPIG0162,20,0,R04880
SAPIG0686,1,0,R04880
SAPIG0181,1,0,R00710
SAPIG2164,1,0,R00710
SAPIG0280,1,0,R05133
SAPIG2020,1,0,R06363
SAPIG0758,2,0,R00182
SAPIG1230,4,0,R04534
SAPIG2647,10,0,R01226
SAPIG0646,4,0,R09780
SAPIG0207,1,0,R02738
SAPIG0254,1,0,R02738
SAPIG0279,1,0,R02738
SAPIG2136,1,0,R03471
SAPIG1397,1,0,R04198
SAPIG1612,1,0,R00299
SAPIG0908,1,0,R12423
SAPIG1070,1,0,R04325
SAPIG2447,1,0,R09497
SAPIG2449,1,0,R09497
SAPIG2450,1,0,R09497
SAPIG0801,2,0,R00734
SAPIG2728,2,0,R00734
SAPIG0481,1,0,R01560
SAPIG1184,2,0,R01560
SAPIG2645,4,0,R00489
SAPIG2141,1,0,R04535
SAPIG1006,4,0,R01404
SAPIG2605,1,0,R04444
SAPIG2172,2,0,R03018
SAPIG2356,1,0,R11382
SAPIG1790,1,0,R01715
SAPIG0241,1,0,R04742
SAPIG1581,24,0,R04742
SAPIG1722,2,0,R02272
SAPIG1957,2,0,R02272
SAPIG1207,1,0,R12852
SAPIG1332,1,0,R01771
SAPIG1675,1,0,R08232
SAPIG2613,1,0,R00702
SAPIG0280,1,0,R05134
SAPIG2145,5,0,R00086
SAPIG2147,3,0,R00086
SAPIG0243,4,0,R07892
SAPIG2071,1,0,R00348
SAPIG1790,1,0,R01826
SAPIG0805,1,0,R07605
SAPIG2209,2,0,R00768
SAPIG1197,1,0,R01397
SAPIG0181,1,0,R04903
SAPIG2164,1,0,R04903
SAPIG1064,1,0,R04591
SAPIG1602,4,0,R02300
SAPIG1725,1,0,R00177
SAPIG1838,4,0,R00177
SAPIG0162,20,0,R00228
SAPIG2219,1,0,R00551
SAPIG0840,2,0,R00900
SAPIG0943,1,0,R01086
SAPIG2574,1,0,R07795
SAPIG1456,1,0,R05145
SAPIG1899,2,0,R03197
SAPIG1039,1,0,R10757
SAPIG0437,1,0,R01224
SAPIG1467,3,0,R11894
SAPIG2161,3,0,R08233
SAPIG1755,1,0,R00216
SAPIG1755,1,0,R00217
SAPIG0268,1,1,R02921
SAPIG0263,1,1,R02921
SAPIG1406,1,0,R00317
SAPIG0883,2,0,R03084
SAPIG0025,2,0,R01968
SAPIG0159,1,0,R01968
SAPIG1104,1,0,R01968
SAPIG1415,2,0,R01933
SAPIG1093,2,0,R01933
SAPIG1584,2,0,R01933
SAPIG1414,24,0,R01933
SAPIG1752,4,0,R04779
SAPIG0241,1,0,R00391
SAPIG1581,24,0,R00391
SAPIG1344,2,0,R06590
SAPIG1600,1,1,R03425
