Protein,Stoichiometry,Isozyme,KEGG_ID
SAPIG1398,1,0,R04364
SAPIG2282,1,0,R00127
SAPIG1113,1,0,R07411
SAPIG2095,1,0,R04440
SAPIG0437,1,0,R07168
SAPIG1583,2,1,R07604
SAPIG1582,2,1,R07604
SAPIG0025,2,0,R02719
SAPIG0159,1,0,R02719
SAPIG1104,1,0,R02719
SAPIG1352,1,0,R01324
SAPIG0634,1,0,R07280
SAPIG0971,1,0,R07280
SAPIG1368,2,1,R00985
SAPIG1369,2,1,R00985
SAPIG0790,2,0,R00985
SAPIG0181,1,0,R01752
SAPIG2164,1,0,R01752
SAPIG1285,1,0,R01801
SAPIG0150,6,0,R02748
SAPIG1184,2,0,R02748
SAPIG2180,6,0,R02748
SAPIG2495,1,0,R02472
SAPIG2648,1,0,R02472
SAPIG0269,1,1,R01525
SAPIG0264,1,1,R01525
SAPIG2676,1,0,R03024
SAPIG0181,1,0,R05237
SAPIG2164,1,0,R05237
SAPIG2172,2,0,R02971
SAPIG2385,1,0,R02285
SAPIG1698,2,0,R00190
SAPIG2605,1,0,R00707
SAPIG0631,2,0,R02089
SAPIG2241,1,0,R12353
SAPIG1822,1,0,R03458
SAPIG0181,1,0,R08146
SAPIG2164,1,0,R08146
SAPIG2002,4,0,R04559
SAPIG0791,1,0,R01716
SAPIG2134,1,0,R10712
SAPIG1659,1,0,R00137
SAPIG2727,1,0,R03457
SAPIG1717,1,0,R00942
SAPIG2123,1,0,R04617
SAPIG1164,1,0,R00150
SAPIG2682,1,0,R00150
SAPIG1147,2,0,R03531
SAPIG1467,4,0,R00156
SAPIG0181,1,0,R03283
SAPIG2164,1,0,R03283
SAPIG1366,1,0,R01728
SAPIG1898,1,0,R11329
SAPIG1006,4,0,R04430
SAPIG0576,1,0,R08237
SAPIG1583,2,1,R07602
SAPIG1582,2,1,R07602
SAPIG2568,1,0,R04780
SAPIG0665,2,0,R01121
SAPIG2692,1,0,R00772
SAPIG1336,2,0,R00009
SAPIG0467,3,0,R08240
SAPIG0243,4,0,R01175
SAPIG1352,1,0,R01900
SAPIG2664,2,0,R11634
SAPIG2169,4,0,R00571
SAPIG1581,24,0,R10998
SAPIG0858,2,0,R08300
SAPIG2071,1,0,R00269
SAPIG1013,1,0,R04377
SAPIG0686,1,0,R00624
SAPIG0162,20,0,R00624
SAPIG0662,1,0,R00921
SAPIG2268,1,1,R00226
SAPIG2093,1,1,R00226
SAPIG0280,1,0,R00839
SAPIG0241,1,0,R00927
SAPIG0434,1,0,R00927
SAPIG0945,1,0,R02740
SAPIG0252,4,0,R00703
SAPIG2650,4,0,R00703
SAPIG0720,4,0,R00856
SAPIG0720,2,0,R00856
SAPIG1465,1,0,R03083
SAPIG2239,1,0,R12354
SAPIG1664,1,0,R01401
SAPIG0436,1,0,R04405
SAPIG0629,1,0,R01214
SAPIG2141,1,0,R10117
SAPIG1355,1,0,R12241
SAPIG2167,1,0,R01068
SAPIG2654,1,0,R01068
SAPIG1215,1,0,R03940
SAPIG1603,1,0,R02412
SAPIG0666,2,0,R03245
SAPIG0858,2,0,R08251
SAPIG2097,2,0,R10052
SAPIG0242,1,0,R07894
SAPIG2581,1,1,R00220
SAPIG2582,1,1,R00220
SAPIG2100,4,0,R00220
SAPIG1437,2,0,R00220
SAPIG1401,2,0,R00451
SAPIG2250,1,0,R04393
SAPIG0169,2,0,R00414
SAPIG0178,1,0,R00414
SAPIG2153,1,0,R00414
SAPIG2605,1,0,R00245
SAPIG0260,4,0,R00875
SAPIG0135,2,0,R12309
SAPIG2730,1,0,R01071
SAPIG2078,1,0,R00801
SAPIG1573,1,0,R00801
SAPIG1274,1,0,R00161
SAPIG1752,4,0,R03237
SAPIG0136,2,0,R12344
SAPIG0136,4,0,R12344
SAPIG1427,1,0,R00939
SAPIG2605,1,0,R05051
SAPIG0017,2,0,R01135
SAPIG1372,1,0,R03509
SAPIG0408,1,0,R12449
SAPIG1025,1,0,R12449
SAPIG0565,3,0,R00416
SAPIG0162,20,0,R05233
SAPIG0686,1,0,R05233
SAPIG0858,2,0,R06728
