RHEA_ID,Protein,Stoichiometry,Subunit,KEGG_ID,EC,DeltaG,RevIndex
RHEA:13240,SAPIG2209,1,0,R00768,2.6.1.16,-20.001871777523718,-4.036498596040146
RHEA:20783,SAPIG1207,1,0,R00332,2.7.4.8,0.04150605634936255,0.008376172992451154
RHEA:28029,SAPIG0808,1,1,R02018,1.17.4.1,,
RHEA:28029,SAPIG0809,1,1,R02018,1.17.4.1,,
RHEA:24816,SAPIG0629,1,0,R01214,2.6.1.6         2.6.1.42,1.7246845599528342,0.3480517664694082
RHEA:31158,SAPIG2605,1,0,R04444,1.2.1.88,1.6003696457203205,0.32296426554210667
RHEA:19189,SAPIG1090,1,1,R03270,1.2.4.1,,
RHEA:19189,SAPIG1091,1,1,R03270,1.2.4.1,,
RHEA:25098,SAPIG1467,1,0,R11894,2.7.4.6,-0.4206924835901873,-0.0848982854336978
RHEA:14008,SAPIG0526,1,0,R01001,4.4.1.1,-31.411719142627305,-6.339074744039772
RHEA:21647,SAPIG1302,1,0,R00847,2.7.1.30,-16.653989821213486,-3.3608757860019436
RHEA:21039,SAPIG0434,1,0,R00238,2.3.1.9         2.3.1.16,24.96679514822631,5.038450135285991
RHEA:49255,SAPIG0777,1,0,R03232,2.7.1.202,,
RHEA:20016,SAPIG1197,1,0,R01397,2.1.3.2,-22.468439909641027,-4.534266950575688
RHEA:13804,SAPIG2668,1,0,R00858,1.8.1.2,109.70007763025069,11.06906929174461
RHEA:22475,SAPIG2172,1,0,R02971,2.7.1.33        2.7.1.34,-22.030374542091977,-4.4458627121747325
RHEA:30742,SAPIG1104,1,0,R01187,3.1.3.25,-39.99854312159754,-10.762596950911837
RHEA:14108,SAPIG1569,1,0,R01248,1.5.1.2,15.206639873760878,3.068791820268487
RHEA:10415,SAPIG1565,1,0,R01054,3.6.1.13        3.6.1.21        3.6.1.53        3.6.1.-,-45.32533216308812,-12.195901242065913
RHEA:15012,SAPIG1427,1,0,R00939,1.5.1.3,18.82333255550884,3.7986622591235695
RHEA:14976,SAPIG0193,1,0,R00491,5.1.1.13,5.194626742897867,2.0966141357052277
RHEA:12347,SAPIG1727,1,0,R04109,1.2.1.70,,
RHEA:10275,SAPIG1991,1,0,R02240,2.7.1.107,,
RHEA:48612,SAPIG1768,1,0,R07461,2.8.1.4         2.8.1.11,,
RHEA:34246,SAPIG2320,1,0,R11581,2.7.7.77,-1.8309811658941726,-0.3695030638988913
RHEA:23011,SAPIG0541,1,0,R00837,3.2.1.93        3.2.1.122,-26.64139173013527,-7.16852512680591
RHEA:25903,SAPIG0646,1,0,R05339,5.3.1.27,-10.49151058647567,-4.234500473124449
RHEA:26333,SAPIG2322,1,0,R09395,2.8.1.12,,
RHEA:10191,SAPIG2596,1,0,R01978,2.3.3.10,-19.81243095571358,-3.9982682934077403
RHEA:41839,SAPIG0980,1,0,R04957,2.3.1.41        2.3.1.85        2.3.1.86        2.3.1.179,,
RHEA:27861,SAPIG0159,1,0,R05135,3.1.4.16,-33.043374569637194,-13.336705338612257
RHEA:27861,SAPIG1290,1,0,R05135,3.1.4.16,-33.043374569637194,-13.336705338612257
RHEA:21259,SAPIG1464,1,0,R03460,2.5.1.19,-16.478218771960677,-3.325404126078059
RHEA:10380,SAPIG1202,1,0,R08231,2.4.2.10,-3.723203435422022,-0.7513649525911235
RHEA:16864,SAPIG2479,1,0,R03231,2.6.1.62,,
RHEA:19484,SAPIG0241,1,0,R00829,2.3.1.16        2.3.1.174,28.62365265933545,5.776426079422272
RHEA:25260,SAPIG0331,1,0,R02087,5.1.3.9,2.1465037480367073,0.866354855357217
RHEA:10167,SAPIG0855,1,0,R00658,4.2.1.11,-3.8108419943564513,-1.5381018867680225
RHEA:18248,SAPIG1742,1,0,R00130,2.7.1.24,2.6944524229946865,0.5437567815396483
RHEA:21583,SAPIG2267,1,0,R02948,4.1.1.5,-31.55928363248242,-8.491805533099903
RHEA:21583,SAPIG2649,1,0,R02948,4.1.1.5,-31.55928363248242,-8.491805533099903
RHEA:52331,SAPIG2009,1,0,R11712,1.14.14.47,-70.90244640664218,-11.44683371874529
RHEA:11847,SAPIG0235,1,0,R00212,2.3.1.54,19.814039438597177,3.998592894973714
RHEA:46279,SAPIG0847,1,0,R11074,4.1.1.101,-28.71877069071195,-7.7274952972699085
RHEA:46279,SAPIG1755,1,0,R11074,4.1.1.101,-28.71877069071195,-7.7274952972699085
RHEA:27721,SAPIG0025,1,0,R01126,3.1.3.5         3.1.3.99        3.1.3.-,-22.526476902683264,-6.0613055553189765
RHEA:27721,SAPIG0159,1,0,R01126,3.1.3.5         3.1.3.99        3.1.3.-,-22.526476902683264,-6.0613055553189765
RHEA:27721,SAPIG1104,1,0,R01126,3.1.3.5         3.1.3.99        3.1.3.-,-22.526476902683264,-6.0613055553189765
RHEA:36143,SAPIG1006,1,0,R04970,1.3.1.10        1.3.1.39        1.3.1.104       1.3.1.-,-58.95331384453675,-11.897134988775903
RHEA:21019,SAPIG2071,1,0,R00485,3.5.1.1         3.5.1.38        3.5.5.4,-34.60104521988424,-9.310266692708861
RHEA:36166,SAPIG2008,1,0,R01724,6.3.4.21,-54.160156810356085,-6.245626819556781
RHEA:25596,SAPIG1041,1,0,R08165,2.2.1.9,-2.8437839011183996,-0.5738927762353204
RHEA:21667,SAPIG2676,1,0,R03024,3.1.3.1         3.1.3.2         3.1.3.41,-22.254955954938815,-5.988246131243973
RHEA:13968,SAPIG0438,1,0,R01286,4.4.1.13,-33.69618450016915,-6.800093658218694
RHEA:29358,SAPIG0025,1,0,R02102,3.1.3.5         3.1.3.89        3.1.3.-,-30.240619962177213,-8.136986469961531
RHEA:29358,SAPIG0159,1,0,R02102,3.1.3.5         3.1.3.89        3.1.3.-,-30.240619962177213,-8.136986469961531
RHEA:29358,SAPIG1104,1,0,R02102,3.1.3.5         3.1.3.89        3.1.3.-,-30.240619962177213,-8.136986469961531
RHEA:16072,SAPIG1633,1,0,R01878,3.5.4.5,-31.36047286216248,-8.438310579947512
RHEA:12976,SAPIG2282,1,0,R00127,2.7.4.3,0.334459160192182,0.06749587966390053
RHEA:10231,SAPIG1352,1,0,R01325,4.2.1.3,8.469446418863953,3.4183709364038344
RHEA:23291,SAPIG0162,1,0,R00228,1.2.1.10,-3.562931650709828,-0.575216910330888
RHEA:43347,SAPIG2327,1,0,R07459,2.7.7.73        2.7.7.80,,
RHEA:30190,SAPIG2639,1,0,R01868,1.3.5.2,,
RHEA:11415,SAPIG0582,1,0,R03503,2.7.6.3,-7.477066230090031,-1.5089171491526332
RHEA:41871,SAPIG0980,1,0,R04963,2.3.1.41        2.3.1.85        2.3.1.86        2.3.1.179,,
RHEA:15760,SAPIG1330,1,0,R01773,1.1.1.3,19.43711658786856,3.922527585951426
RHEA:31234,SAPIG0181,1,0,R05050,1.2.1.3,-43.85347424506244,-8.849896109252636
RHEA:31234,SAPIG2164,1,0,R05050,1.2.1.3,-43.85347424506244,-8.849896109252636
RHEA:59735,SAPIG1456,1,0,R05145,6.3.4.9         6.3.4.10        6.3.4.11        6.3.4.15,,
RHEA:28357,SAPIG0243,1,0,R04754,1.3.3.6         1.3.8.7         1.3.8.8         1.3.99.-,40.697523481966755,8.213006173845566
RHEA:18152,SAPIG0778,1,0,R05168,3.5.1.25,-24.875409671628717,-6.693343991821398
RHEA:42319,SAPIG1291,1,1,R10516,1.2.7.11,,
RHEA:42319,SAPIG1292,1,1,R10516,1.2.7.11,,
RHEA:51931,SAPIG0128,1,0,R11655,1.5.1.51,15.719309454876822,2.537801311840477
RHEA:12916,SAPIG0408,1,0,R07770,6.3.1.20,1166.2237330255825,235.35099681602185
RHEA:12916,SAPIG1025,1,0,R07770,6.3.1.20,1166.2237330255825,235.35099681602185
RHEA:31246,SAPIG2605,1,0,R05051,1.2.1.88,-43.98736173150314,-8.876915413098615
RHEA:19632,SAPIG1748,1,0,R00267,1.1.1.42,-12.510625433933825,-2.0197758514342383
RHEA:22831,SAPIG2723,1,0,R04035,3.6.1.31,-107.33110496917803,-28.880087446373384
RHEA:14836,SAPIG2595,1,0,R02081,1.1.1.88,14.067703792882554,1.6222557923171983
RHEA:49579,SAPIG2319,1,0,R09394,4.1.99.22,,
RHEA:24812,SAPIG2092,1,0,R04441,4.2.1.9,-36.93065911603594,-14.905660363269423
RHEA:19896,SAPIG2136,1,0,R04509,2.7.4.7,5.654827001018475,1.1411782609320809
RHEA:14832,SAPIG0579,1,0,R00897,2.5.1.47        2.5.1.65,-51.28258179572629,-10.349134907082705
RHEA:42643,SAPIG1469,1,0,R09736,2.1.1.163,,
RHEA:21287,SAPIG0162,1,0,R02124,1.1.1.1         1.1.1.105,7.866574488017022,1.5875222694011837
RHEA:21287,SAPIG0686,1,0,R02124,1.1.1.1         1.1.1.105,7.866574488017022,1.5875222694011837
RHEA:27677,SAPIG1467,1,0,R01137,2.7.4.6,2.3866067209509083,0.4816316585552562
RHEA:33211,SAPIG1039,1,0,R10757,2.5.1.74,-109.46181579316854,-17.672044723959576
RHEA:18636,SAPIG1199,1,1,R00575,6.3.5.5,-32.15197541176795,-2.883761303343068
RHEA:18636,SAPIG1200,1,1,R00575,6.3.5.5,-32.15197541176795,-2.883761303343068
RHEA:31103,SAPIG1427,1,0,R02235,1.5.1.3,10.1771003202075,2.0538003448476805
RHEA:19820,SAPIG0437,1,0,R01224,1.5.1.20        1.5.1.53,40.47395264045963,8.167888226990557
