Type,Metabolite,CHEBI,Protein,Stoichiometry,Subunit
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,gluconate/H,CHEBI:18391/CHEBI:15378,,1,
Symport,nitrite/H,CHEBI:16301/CHEBI:15378,,1,
Symport,glycerol-3-phosphate/H,CHEBI:57597/CHEBI:15378,,1,
Symport,glycerol-3-phosphate/H,CHEBI:57597/CHEBI:15378,,1,
Symport,glycerol-3-phosphate/H,CHEBI:57597/CHEBI:15378,,1,
Symport,H/alpha-ketoglutarate,CHEBI:15378/CHEBI:16810,,1,
Symport,r-lactate/H,CHEBI:16004/CHEBI:15378,,1,
Symport,r-lactate/H,CHEBI:16651/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,choline/H,CHEBI:15354/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,glycine-betaine/H,CHEBI:17750/CHEBI:15378,,1,
Symport,phosphate/H,CHEBI:43474/CHEBI:15378,,1,
Symport,glutamate/H,CHEBI:29985/CHEBI:15378,,1,
Symport,glutamate/H,CHEBI:29985/CHEBI:15378,,1,
Symport,glutamate/H,CHEBI:29985/CHEBI:15378,,1,
Symport,glutamate/H,CHEBI:29985/CHEBI:15378,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,threonine/Na,CHEBI:57926/CHEBI:29101,,1,
Symport,leucine/H,CHEBI:57427/CHEBI:15378,,1,
Symport,leucine/H,CHEBI:57427/CHEBI:15378,,1,
Symport,isoleucine/H,CHEBI:58045/CHEBI:15378,,1,
Symport,isoleucine/H,CHEBI:58045/CHEBI:15378,,1,
Symport,valine/H,CHEBI:57762/CHEBI:15378,,1,
Symport,valine/H,CHEBI:57762/CHEBI:15378,,1,
Symport,leucine/Na,CHEBI:57427/CHEBI:29101,,1,
Symport,leucine/Na,CHEBI:57427/CHEBI:29101,,1,
Symport,isoleucine/Na,CHEBI:58045/CHEBI:29101,,1,
Symport,isoleucine/Na,CHEBI:58045/CHEBI:29101,,1,
Symport,valine/Na,CHEBI:57762/CHEBI:29101,,1,
Symport,valine/Na,CHEBI:57762/CHEBI:29101,,1,
Symport,glutamate/Na,CHEBI:29985/CHEBI:29101,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,uracil/H,CHEBI:17568/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,xanthine/H,CHEBI:17712/CHEBI:15378,,1,
Symport,guanine/H,CHEBI:16235/CHEBI:15378,,1,
Symport,guanine/H,CHEBI:16235/CHEBI:15378,,1,
Symport,guanine/H,CHEBI:16235/CHEBI:15378,,1,
Symport,adenine/H,CHEBI:16708/CHEBI:15378,,1,
Symport,adenine/H,CHEBI:16708/CHEBI:15378,,1,
Symport,adenine/H,CHEBI:16708/CHEBI:15378,,1,
Symport,r-allantoin/H,CHEBI:15677/CHEBI:15378,,1,
Symport,r-allantoin/H,CHEBI:15677/CHEBI:15378,,1,
Symport,r-allantoin/H,CHEBI:15677/CHEBI:15378,,1,
Symport,s-allantoin/H,CHEBI:15678/CHEBI:15378,,1,
Symport,s-allantoin/H,CHEBI:15678/CHEBI:15378,,1,
Symport,s-allantoin/H,CHEBI:15678/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,cytosine/H,CHEBI:16040/CHEBI:15378,,1,
Symport,uracil/Na,CHEBI:17568/CHEBI:29101,,1,
Symport,uracil/Na,CHEBI:17568/CHEBI:29101,,1,
Symport,uracil/Na,CHEBI:17568/CHEBI:29101,,1,
Symport,xanthine/Na,CHEBI:17712/CHEBI:29101,,1,
Symport,xanthine/Na,CHEBI:17712/CHEBI:29101,,1,
Symport,xanthine/Na,CHEBI:17712/CHEBI:29101,,1,
Symport,guanine/Na,CHEBI:16235/CHEBI:29101,,1,
Symport,guanine/Na,CHEBI:16235/CHEBI:29101,,1,
Symport,guanine/Na,CHEBI:16235/CHEBI:29101,,1,
Symport,adenine/Na,CHEBI:16708/CHEBI:29101,,1,
