KEGG_ID,RHEA_ID,Protein,Stoichiometry,Isozyme
R03929,RHEA:27885,SAPIG1290,2,0
R04448,RHEA:24215,SAPIG2135,1,0
R00760,RHEA:16128,SAPIG2077,1,0
R00491,RHEA:14976,SAPIG0193,1,0
R11636,RHEA:51623,SAPIG2664,4,0
R12240,RHEA:42292,SAPIG1228,2,0
R02087,RHEA:25260,SAPIG0331,1,0
R00619,RHEA:11579,SAPIG1222,1,0
R01213,RHEA:21527,SAPIG2096,4,0
R01055,RHEA:18340,SAPIG0325,3,0
R04747,RHEA:31206,SAPIG0241,1,0
R04747,RHEA:31206,SAPIG1581,24,0
R04144,RHEA:17456,SAPIG1072,1,0
R01177,RHEA:31114,SAPIG0434,1,0
R01177,RHEA:31114,SAPIG0241,1,0
R01177,RHEA:31114,SAPIG1581,24,0
R09993,RHEA:31802,SAPIG2137,4,0
R08555,RHEA:26413,SAPIG0209,2,0
R05048,RHEA:17473,SAPIG0641,1,0
R01126,RHEA:27721,SAPIG0025,2,0
R01126,RHEA:27721,SAPIG0159,1,0
R01126,RHEA:27721,SAPIG1104,1,0
R08166,RHEA:25600,SAPIG1042,1,0
R03777,RHEA:30946,SAPIG0243,4,0
R09735,RHEA:35050,SAPIG2324,1,0
R00582,RHEA:21211,SAPIG2108,1,0
R00686,RHEA:20204,SAPIG0193,1,0
R03066,RHEA:30890,SAPIG0580,2,0
R01283,RHEA:14504,SAPIG0526,1,0
R01283,RHEA:14504,SAPIG2176,2,0
R03231,RHEA:16864,SAPIG2479,2,0
R01514,RHEA:23519,SAPIG2484,1,0
R02240,RHEA:10275,SAPIG1991,2,0
R01090,RHEA:18324,SAPIG0629,1,0
R02003,RHEA:19364,SAPIG1587,1,0
R01529,RHEA:13680,SAPIG1221,1,0
R04741,RHEA:31182,SAPIG0242,1,0
R04035,RHEA:22831,SAPIG2723,1,0
R04544,RHEA:39159,SAPIG2141,1,0
R04544,RHEA:41908,SAPIG2141,1,0
R10468,RHEA:37042,SAPIG0179,2,0
R10468,RHEA:37042,SAPIG1132,2,0
R01562,RHEA:27901,SAPIG0159,1,0
R01969,RHEA:27741,SAPIG0150,6,0
R01969,RHEA:27741,SAPIG1184,2,0
R01969,RHEA:27741,SAPIG2180,6,0
R02439,RHEA:22075,SAPIG0627,1,0
R00771,RHEA:11819,SAPIG0945,1,0
R00291,RHEA:22171,SAPIG0167,1,0
R03240,RHEA:13036,SAPIG2254,1,1
R03240,RHEA:13036,SAPIG2255,1,1
R04445,RHEA:24946,SAPIG2605,1,0
R04970,RHEA:36143,SAPIG1006,4,0
R04970,RHEA:41912,SAPIG1006,4,0
R02630,RHEA:49235,SAPIG2691,1,0
R01230,RHEA:18304,SAPIG0468,2,0
R02024,RHEA:28041,SAPIG0808,2,1
R02024,RHEA:28041,SAPIG0809,2,1
R01132,RHEA:17976,SAPIG0576,1,0
R02098,RHEA:30658,SAPIG0548,1,0
R00230,RHEA:19524,SAPIG0662,1,0
R01775,RHEA:15764,SAPIG1330,1,0
R00694,RHEA:25155,SAPIG0801,2,0
R00694,RHEA:25155,SAPIG2728,2,0
R12934,RHEA:15805,SAPIG2480,2,0
R11074,RHEA:46279,SAPIG0847,2,0
R11074,RHEA:46279,SAPIG1755,1,0
R07599,RHEA:13457,SAPIG1583,2,1
R07599,RHEA:13457,SAPIG1582,2,1
R03005,RHEA:22863,SAPIG1659,1,0
R00996,RHEA:22111,SAPIG1437,2,0
R00996,RHEA:22111,SAPIG2100,4,0
R04509,RHEA:19896,SAPIG2136,1,0
R02749,RHEA:27661,SAPIG0153,1,0
R03209,RHEA:14784,SAPIG2476,2,0
R02914,RHEA:13104,SAPIG2383,1,0
R00842,RHEA:11095,SAPIG1472,1,0
R00390,RHEA:15424,SAPIG0244,1,0
R00066,RHEA:20775,SAPIG1821,3,0
R04739,RHEA:31170,SAPIG0242,1,0
R02770,RHEA:23935,SAPIG0331,1,0
R01528,RHEA:10119,SAPIG1576,2,0
R02556,RHEA:28193,SAPIG0481,1,0
R02556,RHEA:28193,SAPIG1184,2,0
R00660,RHEA:18684,SAPIG2142,1,0
R00660,RHEA:18684,SAPIG2166,1,0
R01466,RHEA:10843,SAPIG1331,1,0
R09736,RHEA:42643,SAPIG1469,1,0
R09736,RHEA:42643,SAPIG1469,1,0
R01082,RHEA:12463,SAPIG1917,4,0
R07381,RHEA:36226,SAPIG2059,1,0
R04968,RHEA:41903,SAPIG0980,1,0
R07274,RHEA:10255,SAPIG0579,2,0
R02019,RHEA:28033,SAPIG0808,2,1
R02019,RHEA:28033,SAPIG0809,2,1
R07762,RHEA:41916,SAPIG0980,1,0
R01231,RHEA:11683,SAPIG0468,2,0
R01666,RHEA:46043,SAPIG0631,2,0
R04880,RHEA:31150,SAPIG0162,20,0
R04880,RHEA:31150,SAPIG0686,1,0
R05133,RHEA:28513,SAPIG0280,1,0
R00182,RHEA:20132,SAPIG0758,2,0
R04534,RHEA:45840,SAPIG1230,4,0
R04534,RHEA:41856,SAPIG1230,4,0
R01226,RHEA:11827,SAPIG2647,10,0
R02738,RHEA:33370,SAPIG0207,1,0
R02738,RHEA:33370,SAPIG0254,1,0
R02738,RHEA:33370,SAPIG0279,1,0
R03471,RHEA:23099,SAPIG2136,1,0
R04198,RHEA:35326,SAPIG1397,1,0
R00299,RHEA:17828,SAPIG1612,1,0
R04325,RHEA:15056,SAPIG1070,1,0
R09497,RHEA:56147,SAPIG2447,1,0
R09497,RHEA:56147,SAPIG2449,1,0
R09497,RHEA:56147,SAPIG2450,1,0
R00734,RHEA:15096,SAPIG0801,2,0
R00734,RHEA:15096,SAPIG2728,2,0
R01560,RHEA:24411,SAPIG0481,1,0
R01560,RHEA:24411,SAPIG1184,2,0
R00489,RHEA:19500,SAPIG2645,4,0
R04535,RHEA:41863,SAPIG2141,1,0
R01404,RHEA:22567,SAPIG1006,4,0
R01404,RHEA:10240,SAPIG1006,4,0
R04444,RHEA:31158,SAPIG2605,1,0
R11382,RHEA:49003,SAPIG2356,1,0
R01715,RHEA:13900,SAPIG1790,1,0
R04742,RHEA:31186,SAPIG0241,1,0
R04742,RHEA:31186,SAPIG1581,24,0
R02272,RHEA:14268,SAPIG1722,2,0
R02272,RHEA:14268,SAPIG1957,2,0
R12852,RHEA:12697,SAPIG1207,1,0
R01771,RHEA:13988,SAPIG1332,1,0
R08232,RHEA:63916,SAPIG1675,1,0
R00702,RHEA:22675,SAPIG2613,1,0
R05134,RHEA:33130,SAPIG0280,1,0
R00086,RHEA:15184,SAPIG2145,5,0
R00086,RHEA:13068,SAPIG2145,5,0
R00086,RHEA:20855,SAPIG2145,5,0
R00086,RHEA:20624,SAPIG2145,5,0
R00086,RHEA:14676,SAPIG2145,5,0
R00086,RHEA:14736,SAPIG2145,5,0
R00086,RHEA:15184,SAPIG2147,3,0
R00086,RHEA:13068,SAPIG2147,3,0
R00086,RHEA:20855,SAPIG2147,3,0
R00086,RHEA:20624,SAPIG2147,3,0
R00086,RHEA:14676,SAPIG2147,3,0
R00086,RHEA:14736,SAPIG2147,3,0
R00348,RHEA:59415,SAPIG2071,1,0
R01826,RHEA:14720,SAPIG1790,1,0
R07605,RHEA:13412,SAPIG0805,1,0
R00768,RHEA:13240,SAPIG2209,2,0
R01397,RHEA:20016,SAPIG1197,1,0
R04903,RHEA:31218,SAPIG0181,1,0
R04903,RHEA:31218,SAPIG2164,1,0
R04591,RHEA:22631,SAPIG1064,1,0
R02300,RHEA:34767,SAPIG1602,4,0
R00177,RHEA:21083,SAPIG1725,1,0
R00177,RHEA:21083,SAPIG1838,4,0
R00228,RHEA:23291,SAPIG0162,20,0
R00551,RHEA:20572,SAPIG2219,1,0
R00900,RHEA:12613,SAPIG0840,2,0
R01086,RHEA:24023,SAPIG0943,1,0
R05145,RHEA:59735,SAPIG1456,1,0
R03197,RHEA:19868,SAPIG1899,2,0
R10757,RHEA:33211,SAPIG1039,1,0
R10757,RHEA:26478,SAPIG1039,1,0
R01224,RHEA:19820,SAPIG0437,1,0
R11894,RHEA:25098,SAPIG1467,3,0
R08233,RHEA:19129,SAPIG2161,3,0
R00216,RHEA:18256,SAPIG1755,1,0
R00217,RHEA:15644,SAPIG1755,1,0
R02921,RHEA:12459,SAPIG0268,1,1
R02921,RHEA:12459,SAPIG0263,1,1
R03084,RHEA:21099,SAPIG0883,2,0
R01968,RHEA:29382,SAPIG0025,2,0
R01968,RHEA:29382,SAPIG0159,1,0
R01968,RHEA:29382,SAPIG1104,1,0
R01933,RHEA:30798,SAPIG1415,2,0
R01933,RHEA:30798,SAPIG1093,2,0
R01933,RHEA:30798,SAPIG1584,2,0
R01933,RHEA:30798,SAPIG1414,24,0
R04779,RHEA:16109,SAPIG1752,4,0
R06590,RHEA:10508,SAPIG1344,2,0
R03425,RHEA:24307,SAPIG1600,1,1
R03425,RHEA:24307,SAPIG1601,1,1
R02687,RHEA:35663,SAPIG0333,1,0
R02687,RHEA:35663,SAPIG2721,1,0
R00420,RHEA:17216,SAPIG0169,2,0
R00420,RHEA:17216,SAPIG0178,1,0
